"gene","log_fc_est","sd_est","cell_type","ENSEMBL"
"HMGN1",1.29997862079347,0.366037178919933,"InMGE_LGE","ENSG00000205581"
"NDUFV3",0.735551028116525,0.195000668502754,"InMGE_LGE","ENSG00000160194"
"NDUFV3",0.863649181016587,0.171239220314003,"InCGE_MGE","ENSG00000160194"
"MORC3",0.52015691235321,0.115950593173778,"InCGE_MGE","ENSG00000159256"
"SCAF4",0.492636933730282,0.126644230708774,"InCGE_MGE","ENSG00000156304"
"GABPA",0.482145691448285,0.11476602904982,"InCGE_MGE","ENSG00000154727"
"APP",0.602142409341873,0.119785050405596,"vRG_MGE","ENSG00000142192"
"DONSON",0.991839591402321,0.246972591967158,"PgS_VZ","ENSG00000159147"
"HMGN1",0.795135457801208,0.182693635864901,"PgS_VZ","ENSG00000205581"
"BRWD1",-1.5487099374454,0.245297625491482,"IP_iSVZ","ENSG00000185658"
"USP16",1.33992008975015,0.34408490939264,"ExM_oSVZ","ENSG00000156256"
"DSCAM",1.11568671936347,0.129912250757752,"ExM_oSVZ","ENSG00000171587"
"PAXBP1",1.00485659083449,0.214441015698708,"ExM_oSVZ","ENSG00000159086"
"MCM3AP",0.863971898476979,0.242798213576576,"ExM_oSVZ","ENSG00000160294"
"HMGN1",0.786507446540658,0.182284730704611,"ExM_oSVZ","ENSG00000205581"
"SON",0.783633379580636,0.197345764273887,"ExM_oSVZ","ENSG00000159140"
"NDUFV3",0.763341304648494,0.17590340725624,"ExM_oSVZ","ENSG00000160194"
"GART",0.694936304509818,0.16835534243942,"ExN_oSVZ","ENSG00000159131"
"DSCAM",0.545382986252809,0.101734800243468,"ExN_oSVZ","ENSG00000171587"
"TTC3",0.699556212142195,0.201426218420976,"ExDp1_IZ","ENSG00000182670"
"COL6A1",0.516971993334973,0.129148506992436,"ExM_IZ","ENSG00000142156"
"HMGN1",0.440022466576616,0.0995275991546419,"ExN_IZ","ENSG00000205581"
"HMGN1",0.985595988031779,0.254067441066245,"ExDp1_SP","ENSG00000205581"
"NDUFV3",0.951408688395818,0.250193488758763,"ExDp1_SP","ENSG00000160194"
"PAXBP1",0.847096594321786,0.193767673188287,"ExDp1_SP","ENSG00000159086"
"DIP2A",0.795056435534897,0.143794954567267,"ExDp1_SP","ENSG00000160305"
"AGPAT3",0.747392348326669,0.167121477922145,"ExDp1_SP","ENSG00000160216"
"RRP1B",0.577988193185571,0.178555117170037,"ExDp1_SP","ENSG00000160208"
"HMGN1",0.648193976304996,0.170586953996369,"ExM_SP","ENSG00000205581"
"HMGN1",1.11294772417615,0.222305373307087,"ExM-U_SP","ENSG00000205581"
"HMGN1",1.23654225458017,0.311769003576261,"ExDp1_CP","ENSG00000205581"
"NDUFV3",1.00704975609762,0.260616159372171,"ExDp1_CP","ENSG00000160194"
"DIP2A",0.948918397024363,0.231536570638215,"ExDp1_CP","ENSG00000160305"
"DSCAM",0.859364436147625,0.202745757984457,"ExDp1_CP","ENSG00000171587"
"PAXBP1",0.757884791529913,0.215763875870109,"ExDp1_CP","ENSG00000159086"
"USP25",0.599124456675798,0.170506813715005,"ExDp1_CP","ENSG00000155313"
"PRMT2",0.544741215314073,0.144220520043916,"ExDp1_CP","ENSG00000160310"
"DYRK1A",0.409681405223018,0.0889585583169912,"ExDp1_CP","ENSG00000157540"
"BRWD1",0.409254753060337,0.09644478472556,"ExDp1_CP","ENSG00000185658"
"DYRK1A",0.670404929756704,0.171386580551262,"ExM_CP","ENSG00000157540"
"GART",0.636521110936805,0.2005631808196,"ExM_CP","ENSG00000159131"
"BACH1",0.804695773707662,0.192202201340169,"ExM-U_CP","ENSG00000156273"
"PCNT",0.755125506366813,0.20871826128796,"ExM-U_CP","ENSG00000160299"
"SCAF4",0.541840590935751,0.168887337818247,"ExM-U_CP","ENSG00000156304"
"HMGN1",0.517767225789575,0.132472628363411,"ExM-U_CP","ENSG00000205581"
"MORC3",0.43675947454529,0.139669592326112,"ExM-U_CP","ENSG00000159256"
"COL18A1",-0.764768747126932,0.176299299852352,"ExM-U_MZ","ENSG00000182871"
"SYNJ1",0.683730248896291,0.148095604426357,"ExM-U_MZ","ENSG00000159082"
"PAXBP1",0.588582027756188,0.140394833116203,"ExM-U_MZ","ENSG00000159086"
