,Celltype,Gene_set,Term,Adjusted P-value,Genes,-log(pval)
0,ExM_IZ,GO_Biological_Process_2021,mRNA processing (GO:0006397),0.0009083944711393,SF3B4;NUDT21;UBL5;LSM7;PRPF18;HNRNPUL1;BUD31;HNRNPC;POLR2I;SF3B1;POLR2K;LSM2,7.0038318341238055
1,ExM_IZ,GO_Biological_Process_2021,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",0.0009083944711393,SF3B4;NUDT21;UBL5;LSM7;HNRNPUL1;BUD31;HNRNPC;POLR2I;SF3B1;POLR2K;LSM2,7.0038318341238055
2,ExM_IZ,GO_Biological_Process_2021,"mRNA splicing, via spliceosome (GO:0000398)",0.0014409309039327967,SF3B4;NUDT21;UBL5;LSM7;HNRNPUL1;BUD31;HNRNPC;POLR2I;SF3B1;POLR2K;LSM2,6.542465913195729
1155,ExM_IZ,GO_Cellular_Component_2021,U2-type spliceosomal complex (GO:0005684),0.008358386928214409,SF3B4;LSM7;PRPF18;BUD31;SF3B1;LSM2,4.784489821673524
1156,ExM_IZ,GO_Cellular_Component_2021,mitochondrial inner membrane (GO:0005743),0.009845848723142559,NDUFB8;SMDT1;NDUFB6;NNT;NDUFA4;SRC;NDUFS4;TIMM13,4.620705362060061
1157,ExM_IZ,GO_Cellular_Component_2021,mitochondrial respiratory chain complex I (GO:0005747),0.009845848723142559,NDUFB8;NDUFB6;NDUFA4;NDUFS4,4.620705362060061
1158,ExM_IZ,GO_Cellular_Component_2021,respiratory chain complex I (GO:0045271),0.009845848723142559,NDUFB8;NDUFB6;NDUFA4;NDUFS4,4.620705362060061
1159,ExM_IZ,GO_Cellular_Component_2021,organelle inner membrane (GO:0019866),0.009845848723142559,NDUFB8;SMDT1;NDUFB6;NNT;NDUFA4;SRC;NDUFS4;TIMM13,4.620705362060061
1315,ExM_IZ,KEGG_2021_Human,Amyotrophic lateral sclerosis,0.00033886597009189694,GABARAPL2;NDUFB8;ACTR1A;TUBB2A;TUBA1A;PSMB5;PSMA4;NDUFB6;NDUFA4;NDUFS4;UBQLN1;PFN2,7.9899058972230215
1316,ExM_IZ,KEGG_2021_Human,Huntington disease,0.00033886597009189694,NDUFB8;ACTR1A;TUBB2A;TUBA1A;PSMB5;PSMA4;NDUFB6;NDUFA4;NDUFS4;POLR2I;POLR2K,7.9899058972230215
1317,ExM_IZ,KEGG_2021_Human,Pathways of neurodegeneration,0.0007767403684658289,GSK3B;GABARAPL2;NDUFB8;NDUFB6;NDUFA4;BRAF;ACTR1A;TUBB2A;TUBA1A;PSMB5;PSMA4;UBB;NDUFS4,7.160404409554505
1318,ExM_IZ,KEGG_2021_Human,Parkinson disease,0.000985484645862008,NDUFB8;TUBB2A;TUBA1A;PSMB5;PSMA4;NDUFB6;UBB;NDUFA4;NDUFS4,6.922377011541568
1319,ExM_IZ,KEGG_2021_Human,Spliceosome,0.0014093127740085714,SF3B4;LSM7;PRPF18;BUD31;HNRNPC;SF3B1;LSM2,6.564653087727442
1320,ExM_IZ,KEGG_2021_Human,Prion disease,0.0014093127740085714,GSK3B;NDUFB8;TUBB2A;TUBA1A;PSMB5;PSMA4;NDUFB6;NDUFA4;NDUFS4,6.564653087727442
1321,ExM_IZ,KEGG_2021_Human,Alzheimer disease,0.0033958974940078764,GSK3B;NDUFB8;TUBB2A;TUBA1A;PSMB5;PSMA4;NDUFB6;NDUFA4;NDUFS4;BRAF,5.685187195320784
1322,ExM_IZ,KEGG_2021_Human,ErbB signaling pathway,0.007699975482951038,GSK3B;CDKN1B;SRC;BRAF;PAK2,4.8665381341599
0,ExM_IZ,GO_Biological_Process_2021,mRNA processing (GO:0006397),0.0009083944711393,SF3B4;NUDT21;UBL5;LSM7;PRPF18;HNRNPUL1;BUD31;HNRNPC;POLR2I;SF3B1;POLR2K;LSM2,7.0038318341238055
1,ExM_IZ,GO_Biological_Process_2021,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",0.0009083944711393,SF3B4;NUDT21;UBL5;LSM7;HNRNPUL1;BUD31;HNRNPC;POLR2I;SF3B1;POLR2K;LSM2,7.0038318341238055
2,ExM_IZ,GO_Biological_Process_2021,"mRNA splicing, via spliceosome (GO:0000398)",0.0014409309039327967,SF3B4;NUDT21;UBL5;LSM7;HNRNPUL1;BUD31;HNRNPC;POLR2I;SF3B1;POLR2K;LSM2,6.542465913195729
1155,ExM_IZ,GO_Cellular_Component_2021,U2-type spliceosomal complex (GO:0005684),0.008358386928214409,SF3B4;LSM7;PRPF18;BUD31;SF3B1;LSM2,4.784489821673524
1156,ExM_IZ,GO_Cellular_Component_2021,mitochondrial inner membrane (GO:0005743),0.009845848723142559,NDUFB8;SMDT1;NDUFB6;NNT;NDUFA4;SRC;NDUFS4;TIMM13,4.620705362060061
1157,ExM_IZ,GO_Cellular_Component_2021,mitochondrial respiratory chain complex I (GO:0005747),0.009845848723142559,NDUFB8;NDUFB6;NDUFA4;NDUFS4,4.620705362060061
1158,ExM_IZ,GO_Cellular_Component_2021,respiratory chain complex I (GO:0045271),0.009845848723142559,NDUFB8;NDUFB6;NDUFA4;NDUFS4,4.620705362060061
1159,ExM_IZ,GO_Cellular_Component_2021,organelle inner membrane (GO:0019866),0.009845848723142559,NDUFB8;SMDT1;NDUFB6;NNT;NDUFA4;SRC;NDUFS4;TIMM13,4.620705362060061
1315,ExM_IZ,KEGG_2021_Human,Amyotrophic lateral sclerosis,0.00033886597009189694,GABARAPL2;NDUFB8;ACTR1A;TUBB2A;TUBA1A;PSMB5;PSMA4;NDUFB6;NDUFA4;NDUFS4;UBQLN1;PFN2,7.9899058972230215
1316,ExM_IZ,KEGG_2021_Human,Huntington disease,0.00033886597009189694,NDUFB8;ACTR1A;TUBB2A;TUBA1A;PSMB5;PSMA4;NDUFB6;NDUFA4;NDUFS4;POLR2I;POLR2K,7.9899058972230215
1317,ExM_IZ,KEGG_2021_Human,Pathways of neurodegeneration,0.0007767403684658289,GSK3B;GABARAPL2;NDUFB8;NDUFB6;NDUFA4;BRAF;ACTR1A;TUBB2A;TUBA1A;PSMB5;PSMA4;UBB;NDUFS4,7.160404409554505
1318,ExM_IZ,KEGG_2021_Human,Parkinson disease,0.000985484645862008,NDUFB8;TUBB2A;TUBA1A;PSMB5;PSMA4;NDUFB6;UBB;NDUFA4;NDUFS4,6.922377011541568
1319,ExM_IZ,KEGG_2021_Human,Spliceosome,0.0014093127740085714,SF3B4;LSM7;PRPF18;BUD31;HNRNPC;SF3B1;LSM2,6.564653087727442
1320,ExM_IZ,KEGG_2021_Human,Prion disease,0.0014093127740085714,GSK3B;NDUFB8;TUBB2A;TUBA1A;PSMB5;PSMA4;NDUFB6;NDUFA4;NDUFS4,6.564653087727442
1321,ExM_IZ,KEGG_2021_Human,Alzheimer disease,0.0033958974940078764,GSK3B;NDUFB8;TUBB2A;TUBA1A;PSMB5;PSMA4;NDUFB6;NDUFA4;NDUFS4;BRAF,5.685187195320784
