"gene","tau","log_fc_est","sd_est","Z_est","p_cross","ct_prop","expr","q_val","p","cell_type","cell_type_long"
"FRMD3",0.102000015468033,-1.46866768328335,0.310869331815269,-4.72438910170814,0.0156383416592047,0.781437030951884,0.000112416839009234,0.000247503245643012,2.30808124628237e-06,"ExDp1","Maturing deep layer excit. (ExDp1)"
"UBB",0.393521695937412,-0.960818389011488,0.285854685755462,-3.3612126611541,8.42400541608883e-29,0.502957384486714,0.000954760173002043,0.0244747632048743,0.000776010521261169,"ExDp1","Maturing deep layer excit. (ExDp1)"
"CSAD",0.271056184038805,0.87013591845571,0.202151730189813,4.30437037387059,1.66871207560366e-49,1,0.000179454491825742,0.00117113701395229,1.67461307559233e-05,"ExDp1","Maturing deep layer excit. (ExDp1)"
"EIF3L",0.388278292390456,-0.826957469428337,0.282181180638891,-2.93059043681088,1.42039038173607e-78,0.634535633962796,4.42325305854405e-05,0.0695477439854346,0.00338318500957512,"ExDp1","Maturing deep layer excit. (ExDp1)"
"DSTN",0.230873444730532,-0.821921433997342,0.177163741242066,-4.63933211296502,2.53058672269293e-16,0.758903565593744,0.000451747119585426,0.000321274394800748,3.49536954243897e-06,"ExDp1","Maturing deep layer excit. (ExDp1)"
"ALKBH7",0.182435645569285,-0.820971830082843,0.158016898379558,-5.19546857647378,4.53847274015418e-11,0.850033918859457,7.75284457591235e-05,2.96230439602714e-05,2.04204828884925e-07,"ExDp1","Maturing deep layer excit. (ExDp1)"
"LSM7",0.213232546384867,-0.805374664755639,0.169553217931698,-4.74998159622115,1.1090446444493e-06,0.570126065007239,0.00016205838317012,0.000225672729387563,2.0343516171089e-06,"ExDp1","Maturing deep layer excit. (ExDp1)"
"PFDN5",0.318013557214884,-0.801162865609387,0.241039047908045,-3.32378870794008,9.72116701896228e-15,0.834206775383007,0.000351572651824059,0.0266991308277103,0.000888034503750389,"ExDp1","Maturing deep layer excit. (ExDp1)"
"COPS9",0.00212775709764806,-0.799503931452283,0.115620963355082,-6.91487000499155,0.122823337065857,0.597214628233504,0.000139797585251647,1.88312160435607e-09,4.68292596669213e-12,"ExDp1","Maturing deep layer excit. (ExDp1)"
"USP16",0.245727769307129,0.747838894077864,0.197147756926348,3.79329141623075,4.18491530910286e-06,0.630313299972855,0.000150886816181769,0.00655727655183764,0.000148663514282883,"ExDp1","Maturing deep layer excit. (ExDp1)"
"UBQLN1",0.33731022667541,-0.738638823713939,0.264822936564854,-2.78917994526902,5.16661448805173e-08,0.717827200153239,0.000107058082082409,0.0913934067527904,0.00528416961641872,"ExDp1","Maturing deep layer excit. (ExDp1)"
"CALN1",0.123438469687154,-0.727131409758007,0.119574021016549,-6.08101495271598,0.000187974088346896,0.624164581182909,8.68348855654563e-05,3.2015625263667e-07,1.19424153921046e-09,"ExDp1","Maturing deep layer excit. (ExDp1)"
"TCEAL5",0,0.724905092612236,0.239734745647613,3.02377984740592,0.589525944891839,0.965766295780965,0.000253487306004782,0.0557698287503351,0.00249638027356178,"ExDp1","Maturing deep layer excit. (ExDp1)"
"NDUFV3",0.192217227794313,0.724492421132803,0.155292630809969,4.66533677325204,4.01341761717427e-05,1,0.00012469612968052,0.000309748839524239,3.08111994553175e-06,"ExDp1","Maturing deep layer excit. (ExDp1)"
"SCN8A",0.0194004544203541,0.678591083123697,0.0644647323445082,10.5265477485769,0.292965697319671,0.82172677357708,5.49012160056081e-05,1.04844105092691e-22,6.51812900793854e-26,"ExDp1","Maturing deep layer excit. (ExDp1)"
"FBXW11",0.252714829611249,-0.661912153455728,0.205019009782757,-3.22854038831378,5.305239579225e-06,1,8.86971547648155e-05,0.0339212715275874,0.00124423687915925,"ExDp1","Maturing deep layer excit. (ExDp1)"
"ZFHX2",0.260764793775435,0.66124832365015,0.226205551733278,2.92321880954467,3.21717461725745e-08,0.932053123104748,1.92194126736192e-05,0.0700927593269914,0.00346432972738316,"ExDp1","Maturing deep layer excit. (ExDp1)"
"RRAGA",0.152300047143387,-0.657881153188161,0.127288478850313,-5.16842654677182,3.86564510030651e-05,0.666328290540593,6.23307216240889e-05,3.1643622968498e-05,2.3607303426918e-07,"ExDp1","Maturing deep layer excit. (ExDp1)"
"STARD7",0.210923926321702,-0.650334690780165,0.169405589223306,-3.83892109913157,5.65569840906282e-07,0.620669460094542,6.48303405084168e-05,0.00576151321312197,0.000123576130464848,"ExDp1","Maturing deep layer excit. (ExDp1)"
"ERH",0.259586920987731,-0.641768009044413,0.209483493311749,-3.06357316702442,3.8487172172494e-06,0.530659385209286,0.000257437401797699,0.0506181561174427,0.00218710714961906,"ExDp1","Maturing deep layer excit. (ExDp1)"
"PPIA",0.2312127700611,-0.635609723168182,0.193789806677801,-3.27989244669076,3.64042038315939e-07,0.674695687891312,0.000586966075840272,0.0295641352978444,0.00103846667350215,"ExDp1","Maturing deep layer excit. (ExDp1)"
"BLCAP",0.177415966572461,-0.622831146761661,0.143852332333704,-4.32965622911721,3.26844204849363e-05,0.728379146259558,0.000149825889210082,0.00111477115745604,1.49342290642491e-05,"ExDp1","Maturing deep layer excit. (ExDp1)"
"AMFR",0.220785696647953,-0.604072812043444,0.170338987193686,-3.54629801430353,3.09968161087925e-08,0.576331552697216,2.70924274696393e-05,0.0142821681469815,0.000390684114682739,"ExDp1","Maturing deep layer excit. (ExDp1)"
"PSMB5",0.125106932248999,-0.601031250325695,0.10468778692791,-5.7411782975179,7.68699324659192e-05,0.957646674412037,0.000168842508218559,1.7791908607025e-06,9.4020033049246e-09,"ExDp1","Maturing deep layer excit. (ExDp1)"
"GARS",0.251353093811812,-0.595456910839347,0.210996718615245,-2.82211455584374,5.87850659361597e-05,0.81744232811729,0.000138433854372395,0.0867102043707243,0.00477081323395033,"ExDp1","Maturing deep layer excit. (ExDp1)"
"TRMT13",0.00236606834184424,0.590597042299108,0.0804197454681087,7.34393075806632,0.300659718927305,0.748210465944107,8.91531510534373e-05,1.33447886333042e-10,2.07410454356609e-13,"ExDp1","Maturing deep layer excit. (ExDp1)"
