"gene","log_fc_est","sd_est","cell_type","cell_type_long"
"PLRG1",2.1197952242589,0.468694274265953,"End","Endothelia (End)"
"R3HDM4",-0.731223752174399,0.162466089028711,"End","Endothelia (End)"
"BNIP3L",-0.60836461978244,0.141427806930048,"End","Endothelia (End)"
"UBB",-1.24991122723697,0.260307251123459,"ExDp1","Maturing deep layer excit. (ExDp1)"
"SUMO2",-1.20075014175482,0.413886108135255,"ExDp1","Maturing deep layer excit. (ExDp1)"
"GDI2",-1.06777774778242,0.398312563773615,"ExDp1","Maturing deep layer excit. (ExDp1)"
"CPNE5",-0.941612391595758,0.0958826109584888,"ExDp1","Maturing deep layer excit. (ExDp1)"
"LSM7",-0.90855958498499,0.260509513299294,"ExDp1","Maturing deep layer excit. (ExDp1)"
"PPIA",-0.876559485340544,0.200479138492205,"ExDp1","Maturing deep layer excit. (ExDp1)"
"PFDN5",-0.86832303719377,0.2476204068292,"ExDp1","Maturing deep layer excit. (ExDp1)"
"ALKBH7",-0.857045595122312,0.14109458755073,"ExDp1","Maturing deep layer excit. (ExDp1)"
"DSTN",-0.843108363420188,0.191984136139322,"ExDp1","Maturing deep layer excit. (ExDp1)"
"NGRN",-0.823151848526002,0.220477265295183,"ExDp1","Maturing deep layer excit. (ExDp1)"
"TSPYL1",-0.803206690820636,0.092649639976764,"ExDp1","Maturing deep layer excit. (ExDp1)"
"ERH",-0.793478609053898,0.15830975813607,"ExDp1","Maturing deep layer excit. (ExDp1)"
"NDN",-0.790420948721022,0.245829768388812,"ExDp1","Maturing deep layer excit. (ExDp1)"
"NDUFB6",-0.778455729995755,0.236610253429388,"ExDp1","Maturing deep layer excit. (ExDp1)"
"CSAD",0.769043620018968,0.171105866289761,"ExDp1","Maturing deep layer excit. (ExDp1)"
"UQCRH",-0.768912873774636,0.214019888033885,"ExDp1","Maturing deep layer excit. (ExDp1)"
"C15orf61",-0.74849454800858,0.145069849879153,"ExDp1","Maturing deep layer excit. (ExDp1)"
"RCAN1",0.740957375443449,0.198664984027229,"ExDp1","Maturing deep layer excit. (ExDp1)"
"GOLGB1",0.733067569737204,0.236395209876715,"ExDp1","Maturing deep layer excit. (ExDp1)"
"NDUFV3",0.73185133101303,0.111726602202318,"ExDp1","Maturing deep layer excit. (ExDp1)"
"USP16",0.723911016869662,0.129642224060364,"ExDp1","Maturing deep layer excit. (ExDp1)"
"SMDT1",-0.71761167733016,0.132088766044497,"ExDp1","Maturing deep layer excit. (ExDp1)"
"GARS",-0.707904659240925,0.200229211235469,"ExDp1","Maturing deep layer excit. (ExDp1)"
"RRAGA",-0.70494917846941,0.12312040726675,"ExDp1","Maturing deep layer excit. (ExDp1)"
"DIP2A",0.693574266217108,0.207145843788738,"ExDp1","Maturing deep layer excit. (ExDp1)"
"PSMB5",-0.659903920037319,0.0660709350096414,"ExDp1","Maturing deep layer excit. (ExDp1)"
"STK38",0.658510223313252,0.136599546304261,"ExDp1","Maturing deep layer excit. (ExDp1)"
"IRF2BP2",-0.653687620672179,0.173592496908833,"ExDp1","Maturing deep layer excit. (ExDp1)"
"APBB1",-0.650919622236505,0.121392328931569,"ExDp1","Maturing deep layer excit. (ExDp1)"
"SCN8A",0.650725946233644,0.054096088040315,"ExDp1","Maturing deep layer excit. (ExDp1)"
"ARF5",-0.650718683410561,0.180006637250151,"ExDp1","Maturing deep layer excit. (ExDp1)"
"TTC3",0.646885457169214,0.214575029171852,"ExDp1","Maturing deep layer excit. (ExDp1)"
"FBLL1",-0.635140680695858,0.2253059368291,"ExDp1","Maturing deep layer excit. (ExDp1)"
"POLR2K",-0.629059392619375,0.151991737033025,"ExDp1","Maturing deep layer excit. (ExDp1)"
"C1QBP",-0.622519988503611,0.202497379684421,"ExDp1","Maturing deep layer excit. (ExDp1)"
"CDKN2D",-0.60881630133975,0.223107872530697,"ExDp1","Maturing deep layer excit. (ExDp1)"
"RAB6B",-0.606156036882399,0.159658657479609,"ExDp1","Maturing deep layer excit. (ExDp1)"
"CCDC184",-0.604695641168305,0.186234784969936,"ExDp1","Maturing deep layer excit. (ExDp1)"
"VARS2",0.601398425086947,0.175777694600426,"ExDp1","Maturing deep layer excit. (ExDp1)"
"TRMT13",0.601299462330799,0.134641002788766,"ExDp1","Maturing deep layer excit. (ExDp1)"
"CHMP2B",0.591903598321037,0.214649035544161,"ExDp1","Maturing deep layer excit. (ExDp1)"
"STARD7",-0.589742662508665,0.183507174328193,"ExDp1","Maturing deep layer excit. (ExDp1)"
"CALN1",-0.585819230571806,0.139780114100522,"ExDp1","Maturing deep layer excit. (ExDp1)"
"WDR60",0.58523341474005,0.182655097104109,"ExDp1","Maturing deep layer excit. (ExDp1)"
"GNB1",-0.577214551611478,0.136934588413751,"ExDp1","Maturing deep layer excit. (ExDp1)"
"IDS",-0.572497691975985,0.181917977739849,"ExDp1","Maturing deep layer excit. (ExDp1)"
"MARCKSL1",-0.572042098709527,0.213709991401415,"ExDp1","Maturing deep layer excit. (ExDp1)"
"NDUFS4",-0.564671734386848,0.200671941935592,"ExDp1","Maturing deep layer excit. (ExDp1)"
"SDHA",-0.564592830892331,0.169455689584211,"ExDp1","Maturing deep layer excit. (ExDp1)"
"COX7A2L",-0.561292833279607,0.16394204971303,"ExDp1","Maturing deep layer excit. (ExDp1)"
"PPP1R10",0.556303682634003,0.142596254582112,"ExDp1","Maturing deep layer excit. (ExDp1)"
"METTL9",-0.555884589545135,0.151077302204466,"ExDp1","Maturing deep layer excit. (ExDp1)"
"TOMM20",-0.551845754246773,0.192778734400086,"ExDp1","Maturing deep layer excit. (ExDp1)"
"BLCAP",-0.549763154206323,0.164773055863357,"ExDp1","Maturing deep layer excit. (ExDp1)"
"RNF8",0.548830743346915,0.175059122543441,"ExDp1","Maturing deep layer excit. (ExDp1)"
"AMFR",-0.547937909971717,0.163416439903423,"ExDp1","Maturing deep layer excit. (ExDp1)"
"PIAS1",-0.546862196901801,0.17822679406049,"ExDp1","Maturing deep layer excit. (ExDp1)"
"HRAS",-0.543586005539092,0.170403165271999,"ExDp1","Maturing deep layer excit. (ExDp1)"
"AKT2",0.542114800596601,0.115794255321387,"ExDp1","Maturing deep layer excit. (ExDp1)"
"C11orf74",0.535868900759962,0.161271372839669,"ExDp1","Maturing deep layer excit. (ExDp1)"
"ZNF160",0.532721198583369,0.123313765138479,"ExDp1","Maturing deep layer excit. (ExDp1)"
"SLC5A3",0.531855922790849,0.188004564335398,"ExDp1","Maturing deep layer excit. (ExDp1)"
"GDAP1L1",-0.53124470640506,0.13544353235448,"ExDp1","Maturing deep layer excit. (ExDp1)"
"NDUFAF5",-0.527439530587861,0.0897079127789927,"ExDp1","Maturing deep layer excit. (ExDp1)"
"PRPF3",0.513353367864207,0.174030734664323,"ExDp1","Maturing deep layer excit. (ExDp1)"
"MMADHC",-0.512714048272323,0.111175768591975,"ExDp1","Maturing deep layer excit. (ExDp1)"
"DNAJA2",-0.511651669762961,0.182004324122694,"ExDp1","Maturing deep layer excit. (ExDp1)"
"TTC17",0.511470336336154,0.123645975288048,"ExDp1","Maturing deep layer excit. (ExDp1)"
"EPS15L1",0.511460946858771,0.191067527553917,"ExDp1","Maturing deep layer excit. (ExDp1)"
"EIF4G2",-0.505595604683159,0.072262465886911,"ExDp1","Maturing deep layer excit. (ExDp1)"
"KIF3B",-0.499762343967435,0.103979095636764,"ExDp1","Maturing deep layer excit. (ExDp1)"
"UBE2D1",-0.499535467314495,0.164640939231736,"ExDp1","Maturing deep layer excit. (ExDp1)"
"SLC25A23",-0.497696963554219,0.135930470941485,"ExDp1","Maturing deep layer excit. (ExDp1)"
"TLK1",0.496133408395608,0.1449938485713,"ExDp1","Maturing deep layer excit. (ExDp1)"
"PGD",-0.495068418803125,0.129483627800089,"ExDp1","Maturing deep layer excit. (ExDp1)"
"SPPL3",-0.494454562960456,0.103909658497617,"ExDp1","Maturing deep layer excit. (ExDp1)"
"ZNHIT1",-0.494367447043325,0.158508751396226,"ExDp1","Maturing deep layer excit. (ExDp1)"
"ZFHX2",0.490824971072441,0.166007855336806,"ExDp1","Maturing deep layer excit. (ExDp1)"
"DPYSL3",-0.490405166644916,0.115627503242158,"ExDp1","Maturing deep layer excit. (ExDp1)"
"COA3",-0.487967743075225,0.171820177435376,"ExDp1","Maturing deep layer excit. (ExDp1)"
"NSA2",-0.48575088173517,0.121576729132693,"ExDp1","Maturing deep layer excit. (ExDp1)"
"LRPAP1",0.483273692594759,0.0964545467613983,"ExDp1","Maturing deep layer excit. (ExDp1)"
"ST13",0.482248757184326,0.0766452592923459,"ExDp1","Maturing deep layer excit. (ExDp1)"
"PNMA1",-0.481017654481673,0.113258966695587,"ExDp1","Maturing deep layer excit. (ExDp1)"
"FASN",-0.476168945493204,0.104062393469099,"ExDp1","Maturing deep layer excit. (ExDp1)"
"UCKL1",0.475739218161589,0.161117496294021,"ExDp1","Maturing deep layer excit. (ExDp1)"
"STX1A",0.473562460123225,0.0638914845667968,"ExDp1","Maturing deep layer excit. (ExDp1)"
"ZNF518A",0.47249785979024,0.121176772579453,"ExDp1","Maturing deep layer excit. (ExDp1)"
"DPYSL2",-0.470748154036152,0.170508779812343,"ExDp1","Maturing deep layer excit. (ExDp1)"
"NDUFA5",0.468460219832629,0.165892315669428,"ExDp1","Maturing deep layer excit. (ExDp1)"
"RAC3",-0.465090263918004,0.166013247198828,"ExDp1","Maturing deep layer excit. (ExDp1)"
"ARL8B",-0.464789753403988,0.164856503912202,"ExDp1","Maturing deep layer excit. (ExDp1)"
