"gene","tau","log_fc_est","sd_est","Z_est","p_cross","ct_prop","expr","q_val","p","cell_type"
"GPC2",0,3.47858512202683,0.396974507308641,8.76274183350089,0.846565365298492,1,0.000168384248156065,2.59984267703155e-15,1.90557733474094e-18,"InCGE_LGE"
"PGD",0,3.40069981735077,0.519336757859477,6.54815929334032,0.954014597305774,1,7.94447928747045e-05,4.76839163479126e-08,5.82505696896074e-11,"InCGE_LGE"
"CCDC186",0,3.245436534381,0.617290053492996,5.25755520604354,0.986346507128469,0.952938686049606,0.000123387035356423,6.63898601765484e-05,1.4598307881479e-07,"InCGE_LGE"
"PSMB4",0,2.86007898170758,0.644431001856299,4.43814616843239,0.597990080433861,0.869188741121951,0.000121994089161714,0.00285681937589152,9.07369945922057e-06,"InCGE_LGE"
"CDKL5",0.00237798387827448,2.3441627563962,0.579264815245934,4.0467894729649,0.105077466836129,1,4.67581835138798e-05,0.0132830389575561,5.19249018619344e-05,"InCGE_LGE"
"PIANP",0,2.17362168380638,0.373162485337172,5.82486656407166,0.724063567093979,1,3.41274781326255e-05,3.34212451331887e-06,5.71582496780652e-09,"InCGE_LGE"
"ANP32A",0,2.06574483121394,0.248355431289407,8.31769541132661,0.896527037157853,0.605148516949217,0.000393779951374811,9.17754408358977e-14,8.9690144965451e-17,"InCGE_LGE"
"HSPA9",0,1.30418578469378,0.342727171826311,3.80531773347319,0.569973499878009,0.629839095424861,0.000165614891948748,0.0322033310765447,0.000141622272019986,"InCGE_LGE"
"POLG",0,-1.26807214723732,0.23680973942591,-5.35481416563131,0.355457116083453,0.713176405444732,1.63844900650287e-05,4.38178124670071e-05,8.5644392801382e-08,"InCGE_LGE"
"MT-ND4L",0.00153531622373267,1.18491390862283,0.12111718396284,9.78320226621492,0.661527929411462,0.942909511087465,0.000238179391708471,2.7205477686538e-19,1.32936612199062e-22,"InCGE_LGE"
"CAMLG",0,-1.14443008949769,0.324645154031918,-3.5251722543352,0.984341849930281,0.926349449075049,0.000239853633514939,0.0824851575832752,0.000423207502870457,"InCGE_LGE"
"MT-ND3",0.00250357338357391,0.947621122305517,0.083602607153311,11.3348274003915,0.067714262809697,0.728077643143123,0.000300986015800941,3.61026404587107e-26,8.8205815926486e-30,"InCGE_LGE"
"YWHAG",0,-0.857926680067715,0.189748243820634,-4.52139457416376,0.673205533102572,0.953314215793036,0.000374410060141083,0.00209539614776727,6.14335542956443e-06,"InCGE_LGE"
"ZDHHC20",0.0305109664513049,0.831964078225072,0.132446711069355,6.28150047296698,0.050894377371816,0.76922795408896,2.86713974959957e-05,2.28744659090103e-07,3.35320780488791e-10,"InCGE_LGE"
"MT-CO3",0.130006850701511,0.734901536915409,0.168668384789733,4.35707935326208,0.327370928802764,0.641319800885872,0.00135961686434472,0.00375709947335759,1.31809490151134e-05,"InCGE_LGE"
"DLL1",0,0.73032204997629,0.140836350507324,5.18560760304784,0.867946518662434,0.780809109399094,2.95963656573188e-05,8.81270898570029e-05,2.1531172698999e-07,"InCGE_LGE"
"SMDT1",0.126754306990014,-0.642444143319973,0.179448062785924,-3.58011189057186,0.193196060943879,0.96431659881275,0.000152225607836025,0.070286451379794,0.000343447111555309,"InCGE_LGE"
"VPS39",0,0.550075704556738,0.146085780882111,3.76542947051529,0.722493645181209,0.633837690301679,2.15557339173161e-05,0.0358165617602583,0.000166263052393088,"InCGE_LGE"
"MAP1B",0.0935712640827287,-0.520461032433646,0.11971465930377,-4.34751295672991,0.0972547961884738,0.85773146528509,0.00383531393130855,0.00375709947335759,1.37689939165316e-05,"InCGE_LGE"
"ESRRG",0,-0.481264852421035,0.0951790629098012,-5.05641511597059,0.33357140887011,0.550561718776493,5.41527199980723e-06,0.000158961288156502,4.27210889255198e-07,"InCGE_LGE"
"CHCHD1",0.00235255979528962,2.30444598739107,0.538773211394157,4.27720966569211,0.403189898275709,0.650814487304145,3.966698309537e-05,0.0133327006478575,1.89250541488396e-05,"InMGE_LGE"
"HMGN1",0.327388905027641,1.29997862079347,0.366037178919933,3.55149338826543,0.000505494424549628,0.730446919255252,0.000572377572168884,0.0578271136576504,0.000383051616374311,"InMGE_LGE"
"YWHAB",0,1.2341976693623,0.3719956699511,3.31777428894413,0.72299305423638,1,0.00083843796162448,0.0935484340742559,0.000907377761306954,"InMGE_LGE"
"PPIA",0.268952489057673,-1.11011299689803,0.28141262407335,-3.94478748262794,0.000301625517001831,0.558695043657907,0.000478457071710258,0.025970291674533,7.9870781114012e-05,"InMGE_LGE"
