"gene","log_fc_est","sd_est","cell_type"
"CLDN5",-0.808465697265024,0.211872594975279,"End_0"
"BCL2L2",2.34963684631265,0.517830398222165,"End_2"
"OGT",1.48150071797665,0.209921748495934,"ExDp1_0"
"DYNLL1",-1.16440926851385,0.25724738718069,"ExDp1_0"
"SOBP",1.12601439669854,0.121646291505144,"ExDp1_0"
"ATAT1",-0.763046766574024,0.108487541439448,"ExDp1_0"
"TOMM7",-0.674817959316527,0.173973475388407,"ExDp1_0"
"FUT9",-0.577999052036382,0.122102354966969,"ExDp1_0"
"NDUFC1",-3.71209973721958,0.825222288316828,"ExDp1_1"
"MPPED1",-2.92412981965392,0.884109302986185,"ExDp1_1"
"DYNLRB1",-2.87161452140579,0.499845493283786,"ExDp1_1"
"DRAP1",-2.83569361224561,0.634644008973721,"ExDp1_1"
"ARMC1",-2.61670228460218,0.809316711157807,"ExDp1_1"
"HMGXB4",-2.57376144360553,0.566431941238882,"ExDp1_1"
"RARS",-2.41871911921915,0.511707471248871,"ExDp1_1"
"NDUFB9",-2.2405365337196,0.50751450108566,"ExDp1_1"
"LPL",-2.15928937559696,0.0900107438973263,"ExDp1_1"
"NEUROD6",-2.07880412104214,0.268893340829421,"ExDp1_1"
"RSBN1",-1.94834727320651,0.506080113470431,"ExDp1_1"
"ING4",-1.79328100209724,0.535646310496093,"ExDp1_1"
"DNAJC6",-1.6307649679981,0.487434721078473,"ExDp1_1"
"PAPOLG",-1.5795709124867,0.362623602302384,"ExDp1_1"
"SOX5",-1.47137585416427,0.346253654499325,"ExDp1_1"
"CADM2",-1.37142669794098,0.232526136340877,"ExDp1_1"
"KIAA1586",-1.15134488799007,0.361082402251914,"ExDp1_1"
"NFIA",-1.04024964615941,0.121816485748098,"ExDp1_1"
"EEF2",-0.883474701190839,0.239473281652986,"ExDp1_1"
"DLG2",0.877182919673035,0.277320296689524,"ExDp1_1"
"ELMOD1",-0.60872846724902,0.155082314414432,"ExDp1_1"
"AKAP7",-0.55698276546792,0.134955797618914,"ExDp1_1"
"GMEB1",1.42943098572858,0.297652097883725,"ExDp1_2"
"GNG2",-1.23011647928358,0.251791790676352,"ExDp1_2"
"DPYSL2",-1.01985006364776,0.212110379664146,"ExDp1_2"
"NUDT21",-0.919364182683676,0.274698724308258,"ExDp1_2"
"METTL9",-0.835197943996741,0.179607292082924,"ExDp1_2"
"LUC7L3",-0.766718884473302,0.199073040725085,"ExDp1_2"
"ZNF326",-0.748053543955723,0.205802626252557,"ExDp1_2"
"WDR82",-0.694317897582021,0.202763384930458,"ExDp1_2"
"DIP2A",0.51142955205435,0.124133851673177,"ExDp1_2"
"SETBP1",0.504481580028122,0.148659705990656,"ExDp1_2"
"CALN1",-0.466866922218546,0.0871036467812894,"ExDp1_2"
"DSEL",-1.50405512750757,0.265506737864741,"ExDp1_3"
"PCP4",1.51428202507328,0.370206765625222,"ExDp2_0"
"CAMK2N1",-2.62679926867814,0.54899690070361,"ExM_0"
"PDHX",-1.97976930506201,0.618469561750558,"ExM_0"
"NUP58",1.95668342494156,0.540811715655852,"ExM_0"
"XRN2",-1.92853740191782,0.353758720634036,"ExM_0"
"NFIB",1.68258081796539,0.150617613037027,"ExM_0"
"CLIP3",-1.5771616659315,0.355160807812069,"ExM_0"
"CLK4",-0.961462448653326,0.262621235488946,"ExM_0"
"PLPPR5",-0.833599780592635,0.222150474270003,"ExM_0"
"ADSS",-0.79751192828048,0.24098037431188,"ExM_0"
"FYTTD1",-0.734715724083648,0.223875104708814,"ExM_0"
"POLR2B",-0.625781244247904,0.15893140153527,"ExM_0"
"PAXBP1",0.619772422675977,0.194330252454474,"ExM_0"
"BAZ1B",-0.559643810930318,0.169508675057798,"ExM_0"
"YWHAE",0.458205917521043,0.12485326166809,"ExM_0"
"TKT",1.96056880520164,0.506787251158814,"ExM_2"
"PLCL1",-1.59051577735772,0.418469611975445,"ExM_2"
"IRS2",-1.37187775736507,0.309368457853113,"ExM_2"
"EXTL3",-1.29869867120402,0.330701045681454,"ExM_2"
"SELENOW",-3.29987192440417,0.462452462126235,"ExM_3"
"SH3BGRL3",-2.99605780851809,0.916557723583393,"ExM_3"
"NREP",-1.85325248551546,0.41322607604025,"ExM_3"
"PDHA1",1.79187438879548,0.496532676383021,"ExM_3"
"EPHA3",0.648846776042082,0.124265840172035,"ExM_3"
"ADD2",-1.87098697794838,0.409907625037153,"ExM_4"
"HNRNPDL",-1.76589317625849,0.539594832948983,"ExM_4"
"GAP43",1.7074328018907,0.541507608357953,"ExM_4"
"PFDN2",-1.5827367686705,0.437570437378057,"ExM_4"
"DYNC1I2",-1.41699024064935,0.44893580581134,"ExM_4"
"HNRNPR",-1.36643628579193,0.427547200563974,"ExM_4"
"DNM1L",-1.27975249985336,0.264982365158427,"ExM_4"
"BCL9",-1.12987766136755,0.304992983264999,"ExM_4"
"RCAN1",1.08583859031704,0.317848324808548,"ExM_4"
"KLHL29",-1.08376367258672,0.2977411443568,"ExM_4"
"DLG2",-0.989741977017372,0.273356709013743,"ExM_4"
"EIF4E2",-0.963985026992856,0.28578917823716,"ExM_4"
"TIAM2",-0.957200653352529,0.243922532494971,"ExM_4"
"MB21D2",0.876015269742985,0.240242882903681,"ExM_4"
"LSM7",-0.842454607312797,0.206371741381743,"ExM_4"
"DPYSL2",-0.763183638783866,0.13590820033872,"ExM_4"
"HDAC2",-0.636047182754708,0.197308268698041,"ExM_4"
"NHSL1",-0.484971647662674,0.136464181883267,"ExM_4"
"LHX2",-2.28703871075312,0.159328352505625,"ExM-U_0"
"KCTD7",-1.59975398409683,0.429881393891358,"ExM-U_0"
"SERINC1",-1.23513596990585,0.336275201738477,"ExM-U_0"
"DDX21",2.97417692499451,0.524980450664884,"ExM-U_1"
"EMD",2.8833843742902,0.340552222820115,"ExM-U_1"
"LPL",1.34975219588345,0.263155665208322,"ExM-U_1"
"NEFM",1.29182894782064,0.128716876064188,"ExM-U_1"
"GUK1",1.644400688576,0.408627658835101,"ExM-U_2"
"TUBB",1.62425785927636,0.325215085715547,"ExM-U_2"
"ARPP21",1.48242708379714,0.200624108423093,"ExM-U_3"
"TATDN2",-2.5795477170346,0.568291265196343,"ExM-U_5"
"CCS",-2.0543845615006,0.576671865183138,"ExM-U_5"
"FRY",-2.03813852630926,0.576871060244801,"ExM-U_5"
"SOGA1",1.7276893098728,0.431259612539904,"ExM-U_5"
